title,abstract,paragraph,URL
"Single Parents: Unsupported, and Feeling the Blame","Men and boys appear caught in a vicious cycle of single-parent families and poverty, but the effects are felt by both sexes.","Sometimes research results are politically incorrect, or even offensive for some of us, and still worth talking about.",https://parenting.blogs.nytimes.com/2013/03/20/single-parents-unsupported-and-feeling-the-blame/
Single Parents Like Online Dating,"Among people who have recently used online dating, single parents are highly overrepresented. ","Single parents are highly overrepresented among people who have recently used online dating, according to figures released by Mediamark Research, an audience research firm.",https://www.nytimes.com/2007/10/08/business/media/08drill.html
For Single‐Parent Families,Article on single parent families; illus (M),"All organizations of single parents that are listed here offer weekly discussions or “rap sessions” with provisions for child care. Some also offer such services as telephone hot lines, counseling, group outings and talks by experts in fields of special interest to parents raising children alone.",https://www.nytimes.com/1977/09/08/archives/for-singleparent-families.html
Single Parent (for a Week) in San Francisco,"For a week in January, my then-13-month-old daughter, Sasha, and I visited San Francisco—alone, without her mother.","For a week in January, my  daughter, Sasha, then 13 months old, and I visited San Francisco — alone, without her mother. We went to museums, ate burritos and generally had a lovely time, all detailed in this weekend’s Travel section cover story, “Frugal San Francisco.” It was exhausting, yes, and Sasha may not remember anything specific from it, but I’m glad we had the opportunity to embark on the adventure.",https://frugaltraveler.blogs.nytimes.com/2010/03/12/single-parent-for-a-week-in-san-francisco/
"For Single Parents, One Less Worry","Cornell University study finds that single parenthood, in and of itself, seems to have no effect on how child does in school (S)","Single mothers have been stereotyped, politicized and vilified, but a new Cornell study of young children offers them some comforting news: in and of itself, single parenthood seems to have no effect on how a child does in school.",https://www.nytimes.com/1999/10/05/health/vital-signs-families-for-single-parents-one-less-worry.html
When Single Parents Collide on a Safari,"In “Blended,” the third pairing of Adam Sandler and Drew Barrymore, Mr. Sandler once again proclaims himself both über-doofus and ultimate mensch.","Because life is short and I have other things to be upset about, I will not dwell on the offensive aspects of “Blended,” the new Adam Sandler comedy: its retrograde gender politics; its delight in the humiliation of children; its sentimental hypocrisy about male behavior; its quasi-zoological depiction of Africans as servile, dancing, drum-playing simpletons; its ... I’m sorry. That’s just what I said I wouldn’t do.",https://www.nytimes.com/2014/05/23/movies/adam-sandler-and-drew-barrymore-in-blended.html
Single Parents Find,"Article discusses growth in demand for single-parent adoptions; Spaulding for Children, Westfield, NJ, adoption agency, to stage benefit to publicize trend; case of single parent and adoptee noted; illus of children (S)","WESTFIELD DADDY WARBUCKS, if not the first single person in history to adopt a child, is certainly the most widely publicized. This, combined with a belief in the efficacy of such arrangements, is why Spaulding For Children chose “Annnie,” the hit musical, as its theater benefit next Friday night and as its way of observing National Adoption Week, which starts next weekend.",https://www.nytimes.com/1977/11/13/archives/new-jersey-weekly-single-parents-find-a-smoother-path-to-adoption.html
A Plan for the Single Parent,"  BEFORE her divorce early this year, Sheila Meyer of Spring Valley, N.Y., said, ''I had never made a financial decision in my life. I had left all the financial arrangements to my husband.'' Now, at age 44, she has to shoulder those responsibilities for herself and her two teen-age children. At the same time, her household income has dropped considerably from the time when she was married, and her husband brought home a six-figure salary.   ''I'm really very inexperienced at managing money,'' Ms. Meyer, a psychotherapist, said. ''I tend to go from being terrified of spending a nickel to the other extreme of spending money on frivolous things.''","BEFORE her divorce early this year, Sheila Meyer of Spring Valley, N.Y., said, ''I had never made a financial decision in my life. I had left all the financial arrangements to my husband.'' Now, at age 44, she has to shoulder those responsibilities for herself and her two teen-age children. At the same time, her household income has dropped considerably from the time when she was married, and her husband brought home a six-figure salary.",https://www.nytimes.com/1986/09/14/business/getting-the-most-from-your-assets-a-plan-for-the-single-parent.html
"PARENT & CHILD;
Of Single Parents And Mistletoe","DURING the holidays, even the most hermitic single parents, seduced by the parties and possibilities, find themselves lured back into the dating game. Except for the most determinedly depressed, hope rises again that, just maybe, there may be someone out there who would make life easier, brighter and better. 

But dating can be hard for a single parent. Baby sitters become a scarce commodity during the holidays. And deciding when teen-agers are old enough to stay home alone is daunting. Tackling such obstacles often sends street-shy single parents back into hiding.","DURING the holidays, even the most hermitic single parents, seduced by the parties and possibilities, find themselves lured back into the dating game. Except for the most determinedly depressed, hope rises again that, just maybe, there may be someone out there who would make life easier, brighter and better. ",https://www.nytimes.com/1994/12/29/garden/parent-child-of-single-parents-and-mistletoe.html
STRENGHTS OF SINGLE PARENTS UNDERLINED,"PROFESSIONAL interest in the single-parent family has focused in recent years largely on its problems and weaknesses, Olga Brom, director of the Institute for Single Parent Family, said recently. ''At previous workshops, people were taught strategies to cope with those problems. To my knowledge nobody ever said single-parent families could be strong and maybe even stronger than an intact family or an unhappy family.''

On Saturday the institute will sponsor an all-day workshop at Sarah Lawrence College in Yonkers to explore the ''Strengths of Single Parent Families.'' According to Marianne Walters, the director of the Family Therapy Practice Center in Washington, who will give the keynote speech, ''So many single parents feel they are an incomplete family; they should be regarded as another kind of family with intrinsic strengths.'' In her address she will identify those strengths, which became apparent in research she has done.","PROFESSIONAL interest in the single-parent family has focused in recent years largely on its problems and weaknesses, Olga Brom, director of the Institute for Single Parent Family, said recently. ''At previous workshops, people were taught strategies to cope with those problems. To my knowledge nobody ever said single-parent families could be strong and maybe even stronger than an intact family or an unhappy family.''",https://www.nytimes.com/1983/09/25/nyregion/strenghts-of-single-parents-underlined.html
Personal Side to Single-Parent Issues,"Single parents got together yesterday evening to assess their situation in the light of recent events: New York State's new equitable-distribution divorce law and the recommendations of the first two White House Conferences on Families. They also heard speakers discuss the help that ethnic and religious groups can offer in raising children, and the effect of divorce and the death of parents on children.  ",,https://www.nytimes.com/1980/06/27/archives/personal-side-to-singleparent-issues.html
Does Championing Marriage Exclude Single Parents?,There’s more to the story of what makes raising children more difficult as a single parent than just the lack of a partner.,"The Institute for American Values has issued a fairly remarkable “Call for a New Conversation on Marriage.” Its president, David Blankenhorn, is perhaps best known as the expert who testified against gay marriage in the Proposition 8 trial in California, and then changed his mind, publicly, with an Op-Ed article in The New York Times. ",https://parenting.blogs.nytimes.com/2013/01/29/does-championing-marriage-exclude-single-parents/
GROUP TO AID SINGLE PARENTS,"  AN effort to bridge what seems to be a serious communications gap between the one-parent family and the community will be made in 1982 by the Single Parents Roundtable, a new group in New Haven of mainly social service professionals from 11 towns in the area.   ''There are many grandparents as well as others who have stood by with a feeling of helplessness while both parents and children are emotionally devastated by the single-parent condition,'' said Barbara Small, executive director of the roundtable.   The aim of the campaign, said Mrs. Small, who is a single parent, is to draw these families back into the mainstream of community life and lessen any stigma or sense of isolation.   The group is preparing a resource book that single parents and professionals dealing with one-parent families can use. It is to be distributed through physicians, lawyers, school counselors, public libraries and social service centers and will list community services helpful to the single-parent family as well as recreational and social opportunities.","AN effort to bridge what seems to be a serious communications gap between the one-parent family and the community will be made in 1982 by the Single Parents Roundtable, a new group in New Haven of mainly social service professionals from 11 towns in the area.",https://www.nytimes.com/1981/12/27/nyregion/group-to-aid-single-parents.html
SINGLE PARENT HOMES ON RISE,"  WASHINGTON 17 (AP) - The Census Bureau reported today that the number of families headed by one parent had doubled since 1970, a change that officials said had been caused primarily by divorce.   The number of single-parent families rose from 3.3 million to 6.6 million from 1970 to 1981, according to a new study of household and family characteristics released by the bureau.","WASHINGTON 17 (AP) - The Census Bureau reported today that the number of families headed by one parent had doubled since 1970, a change that officials said had been caused primarily by divorce.",https://www.nytimes.com/1982/06/18/us/single-parent-homes-on-rise.html
Single-Parent Household Linked to Hypertension in Offspring,A new study of black men suggests that living with both parents in childhood reduces the risk for high blood pressure in adulthood.,A new study of black men suggests that living with both parents in childhood reduces the risk for high blood pressure in adulthood.,https://well.blogs.nytimes.com/2013/12/18/single-parent-household-linked-to-hypertension-in-offspring/
Review: ‘The Last of Us’ Is a Zombie Thriller About Single Parenting,HBO’s video-game adaptation doesn’t reinvent the apocalypse genre. But it injects an undead story with new life.,"You would be forgiven for suffering, at this point, from pandemic fatigue. I’m referring here not to Covid-19 but to the many plagues that have kicked off TV apocalypses in recent years. From “Station Eleven” to “12 Monkeys,” “The Walking Dead” to “The Stand,” “Y: The Last Man” to “The Last Man on Earth,” this is the way the world ends, and ends, and ends.",https://www.nytimes.com/2023/01/12/arts/television/the-last-of-us-review.html
SINGLE PARENT AND A CHILD'S PARTY,"SANDI SAMUELS hadn't done her ''homework.'' The assignment had been to write a letter from her son telling her what he expected from his bar mitzvah; but instead of ''trying to get in touch with his feelings,'' as Wendy Baltaxe, director of singles activities at the Greater Five Towns Y.M.- Y.W.H.A. in Cedarhurst, had asked, Mrs. Samuels had merely jotted down a few phrases about ''my joyous occasion'' and ''the essence of being Jewish.''

And the four other members of her support group for singles planning a bar mitzvah or bat mitzvah or wedding alone were taking her to task for evading the issue.

''Your son never would have written that letter,'' said Mrs. W., who, along with three other women in the group, preferred anonymity. ''There are no feelings in that. Sure, it's hard to put yourself in someone else's place, but you didn't even try.''","SANDI SAMUELS hadn't done her ''homework.'' The assignment had been to write a letter from her son telling her what he expected from his bar mitzvah; but instead of ''trying to get in touch with his feelings,'' as Wendy Baltaxe, director of singles activities at the Greater Five Towns Y.M.- Y.W.H.A. in Cedarhurst, had asked, Mrs. Samuels had merely jotted down a few phrases about ''my joyous occasion'' and ''the essence of being Jewish.''",https://www.nytimes.com/1984/03/18/nyregion/single-parent-and-a-childs-party.html
PARTY FOR SINGLE-PARENT FAMILIES,"  ''You're wonderful, Daddy!'' 8-year-old Lila exclaimed happily as the bowling ball Fred Margulies had sent zooming down the lane smashed into the pyramid of pins. ''Hey, you're pretty terrific yourself,'' h er father said, beaming back.  Two lanes away a boy of 10 years, disappoin tment in his voice, was complaining to his mother, ''I'm terrible at bowling and I'll never win the trophy.''   ''Not many people have trophies,'' his mother said softly.  ''Anyway, that's not important. Having a good time and doing your best is.''","''You're wonderful, Daddy!'' 8-year-old Lila exclaimed happily as the bowling ball Fred Margulies had sent zooming down the lane smashed into the pyramid of pins. ''Hey, you're pretty terrific yourself,'' h er father said, beaming back. Two lanes away a boy of 10 years, disappoin tment in his voice, was complaining to his mother, ''I'm terrible at bowling and I'll never win the trophy.''",https://www.nytimes.com/1982/02/05/style/party-for-single-parent-families.html
Blue Period For Single Parents,article on psychological trauma of lone parent during Christmas holidays in society that traditionally is geared toward family togetherness; drawing (M),"IT was the night before Christmas. And Maggie Prodo, a single parent who lives in Weston, Conn., with her three children, was just about to put a new tricycle under the tree for her youngest when she discovered, to her dismay, that “the big box was a mess of jangles — I'd forgotten these things don't come assembled anymore.”",https://www.nytimes.com/1979/12/12/archives/blue-period-for-single-parents-christmas-a-blue-period-for-single.html
"More and More, the Single Parent Is Dad","  One day not long after his divorce, Don Merwin watched his 2-year-old daughter, Alina, waddle in diapers to the front door, where she stood on tiptoe and strained to reach the knob.    ""Where are you going?"" asked Mr. Merwin, who lives in Sacramento, Calif.","One day not long after his divorce, Don Merwin watched his 2-year-old daughter, Alina, waddle in diapers to the front door, where she stood on tiptoe and strained to reach the knob.",https://www.nytimes.com/1993/08/31/us/more-and-more-the-single-parent-is-dad.html
How to Get Child Support as a Single Parent,"Regardless of circumstances, a custodial parent is entitled to financial support from the child’s other parent.","This guide was originally published on July 25, 2019 in NYT Parenting.",https://www.nytimes.com/article/child-support.html
Single-Parent Homes: The Effect on Schooling,"LEAD: The more time that children - especially boys - spend in one-parent homes, the less schooling they are likely to complete, a new study says.","The more time that children - especially boys - spend in one-parent homes, the less schooling they are likely to complete, a new study says.",https://www.nytimes.com/1988/06/29/garden/single-parent-homes-the-effect-on-schooling.html
GROUP OFFERS HELP TO SINGLE PARENTS,"  WHEN a New Haven pediatrician noticed a common complaint among the single-parent families he treated, he decided to take action to alleviate their problem - loneliness.   ''I realized there were a lot of one-parent families who needed to meet other single parents,'' said Dr. Robert LaCamera. ''Many felt less than whole.'' In 1978, he formed the One-Parent Family Conference, a group of single parents who discuss what it is like to raise a child alone. The New Haven-based group, which draws statewide membership, meets informally in homes and for holiday parties, picnics and fund-raising drives. The parents have also formed a support group to help each other in a crisis.","WHEN a New Haven pediatrician noticed a common complaint among the single-parent families he treated, he decided to take action to alleviate their problem - loneliness.",https://www.nytimes.com/1986/07/13/nyregion/group-offers-help-to-single-parents.html
Single-Parent Families Sharing Their Homes,"LEAD: LAST spring, in the midst of a divorce, Taryn Melendez started looking for an apartment for herself and her two young daughters. Hoping to find a roommate with whom she could split expenses, she said, she ran advertisements in a couple of newspapers. But she found that most of the people who wanted to share housing did not want to live with children.","LEAD: LAST spring, in the midst of a divorce, Taryn Melendez started looking for an apartment for herself and her two young daughters. Hoping to find a roommate with whom she could split expenses, she said, she ran advertisements in a couple of newspapers. But she found that most of the people who wanted to share housing did not want to live with children.",https://www.nytimes.com/1990/07/15/nyregion/singleparent-families-sharing-their-homes.html
A Single-Parent Home That Sponsors Dreams,"LEAD: Like many newly divorced parents, Julie Sharp faced a problem: how to afford a home and day care for her 3-year-old son and still continue her college education.","Like many newly divorced parents, Julie Sharp faced a problem: how to afford a home and day care for her 3-year-old son and still continue her college education.",https://www.nytimes.com/1988/05/19/garden/a-single-parent-home-that-sponsors-dreams.html
Rehousing Single-Parent Families,"  AT this time of year, Anthony Puzio starts worrying about winter winds. One long side of his four-story rental apartment building in the Bushwick section of Brooklyn faces north. Protection from the elements is the most important benefit that shelter must provide, and the old, wooden-framed windows at 50 Granite Street are frail defenders against the heavy winds that batter them.   Mr. Puzio is a 47-year-old self-employed painting contractor who lives with his elderly mother in a single-family house in the Midwood section of Brooklyn. His only rental properties are two single-family houses and the Bushwick building, a 1900's walk-up at the corner of Bushwick Avenue. It has seven three-bedroom apartments and, along the avenue, a grocery store.   Though a small owner, Mr. Puzio is a significant figure in the city's efforts to provide permanent housing for a major segment of the homeless population - low-income, female-headed households with children. About 4,000 such families now live in temporary housing in public shelters or hotels.","AT this time of year, Anthony Puzio starts worrying about winter winds. One long side of his four-story rental apartment building in the Bushwick section of Brooklyn faces north. Protection from the elements is the most important benefit that shelter must provide, and the old, wooden-framed windows at 50 Granite Street are frail defenders against the heavy winds that batter them.",https://www.nytimes.com/1986/11/30/realestate/perspectives-low-cost-rentals-rehousing-single-parent-families.html
"Single Parents Finding Love: Over Zoom, of Course",Because dating with kids wasn’t tricky enough before the pandemic.,"It was a “missed connection” that could have only happened in 2020. Posted in July in a Bay Area Facebook parenting group that usually focuses more on dentist recommendations and stroller advice, it read: “In search of the single dad who spoke at yesterday’s Zoom school board meeting. You have a child going into kindergarten. You sounded kind, caring, insightful and levelheaded. I’m a single woman with a sweet elementary school-aged child. Would love to meet up — masked and distanced appropriately — until we mutually agree to be part of one another’s bubble.”",https://www.nytimes.com/2020/10/06/parenting/single-parent-dating-coronavirus.html
NUMBER OF SINGLE PARENT ADOPTIONS GROWS,"  Dr. Judith Kuppersmith, a Brooklyn psychologist, was in her late 30's when she decided she wanted to adopt a child. But after visiting several adoption agencies, she found she was ''last on everybody's list.'' ''I had three problems,'' she said. ''My age, I was single, and I wanted an infant.''   Today Dr. Kuppersmith, 42, is the mother of a 3-year-old girl named Anya, whom she adopted privately from Chile.   She is one of a growing number of single people in this country who are adopting children, either privately or through agencies. Although no statistics are available for single-parent adoptions, experts estimate that anywhere from 5 to 25 per cent of all adoption placements are now being made to single people. In 1981, the total number of adopted children in the United States was about 1.2 million, according to Child Trends, a Washington research group.","Dr. Judith Kuppersmith, a Brooklyn psychologist, was in her late 30's when she decided she wanted to adopt a child. But after visiting several adoption agencies, she found she was ''last on everybody's list.'' ''I had three problems,'' she said. ''My age, I was single, and I wanted an infant.''",https://www.nytimes.com/1984/11/19/style/number-of-single-parent-adoptions-grows.html
Single-Parent Homes On Increase in Japan,"   The number of single-parent families in Japan has increased sharply in the last five years, mainly because of the rising divorce rate, according to a report issued today on Children's Day, a national holiday.   For the first time divorce exceeded death of the father as the primary cause of families without fathers, according to the Health and Welfare Ministry report.","The number of single-parent families in Japan has increased sharply in the last five years, mainly because of the rising divorce rate, according to a report issued today on Children's Day, a national holiday.",https://www.nytimes.com/1984/05/06/world/single-parent-homes-on-increase-in-japan.html
The Increasing Single‐Parent Families...,"Article on 'single-parent families', noted as a way of life now for one Amer child in every 7 and as a new term for 'broken homes'; US Census Bur repts 9 million children under age 18 are being raised by 1 parent only, more than 8 million by mothers, 800,000 by fathers; figures represent child-rearing trend that has been growing since '60; growth is 7 times as fast as traditional nuclear family; some suggest that US may be in the midst of a sgnificant change in child-rearing patterns; Dr Urie Bronfenbrenner and Martin Rein comment; Sen Subcom on Children and Youth to probe situation; various social, educational and counseling programs arise to aid in situation; Community Service Soc says 40% of social service agencies responding to a survey reptd special programs for single-parent family but that communities are unaware of them; belief that such families are headed only by unwed mothers called a myth; some single parents comment; illus (L)",Almost no one says “broken homes” any more. Now they are popularly called “single parent families” and they are a way of life for one American child in every seven.,https://www.nytimes.com/1974/12/03/archives/the-increasing-singleparent-families-lack-of-day-care-unawareness.html
Single or a Single Parent? Here’s How to Prepare for the Coronavirus,"It’s possible to plan ahead so friends, neighbors and relatives can help if you wind up needing it.","For Americans who live alone, or are single parents, the prospect of getting coronavirus can be especially daunting. Without another adult to help, you could be left caring for yourself, your finances, your pets and your children while battling a serious and highly contagious disease.",https://www.nytimes.com/2020/04/15/smarter-living/singles-parents-coronavirus.html
Changes in Family Patterns: Solitude and Single Parents,"  Delayed marriage and frequent divorce are transforming the American household, etching patterns of solitude, single parenthood and homes increasingly filled by unmarried couples, a new Census Bureau survey shows.   Children of the 1950's are living alone in record numbers, children of the 1960's and 1970's linger in the parental nest and almost one-quarter of the children of the 1980's and 90's are living with a single parent.","Delayed marriage and frequent divorce are transforming the American household, etching patterns of solitude, single parenthood and homes increasingly filled by unmarried couples, a new Census Bureau survey shows.",https://www.nytimes.com/1991/06/07/us/changes-in-family-patterns-solitude-and-single-parents.html
Helping Single Parents Find Success in College,"Michelle Feaver's life had fallen apart last fall, when she enrolled in the Community Service Scholarship Program at Trinity College here. Two years earlier Ms. Feaver, a mother of two, had fled New Zealand and a failing marriage to settle near her family in Vermont. But without a college degree her job prospects were dismal.

Now, a year into a program designed specifically for single, low-income parents, her life has taken an abrupt turn for the better.","Michelle Feaver's life had fallen apart last fall, when she enrolled in the Community Service Scholarship Program at Trinity College here. Two years earlier Ms. Feaver, a mother of two, had fled New Zealand and a failing marriage to settle near her family in Vermont. But without a college degree her job prospects were dismal.",https://www.nytimes.com/1991/08/28/archives/helping-single-parents-find-success-in-college.html
Single Parents Find Help With Sharing Homes,"LEAD: THREE years ago, a financially comfortable 80-year-old widow was finding it hard to manage her house in Bergen County, where she had lived for many years. She opted to share her home with a single father who had custody of his son and daughter on weekends. In exchange, he agreed to help her with the maintenance.","THREE years ago, a financially comfortable 80-year-old widow was finding it hard to manage her house in Bergen County, where she had lived for many years. She opted to share her home with a single father who had custody of his son and daughter on weekends. In exchange, he agreed to help her with the maintenance.",https://www.nytimes.com/1990/09/30/nyregion/single-parents-find-help-with-sharing-homes.html
WHEN SINGLE PARENTS HAVE A DATE,"''I DON'T even want to get to know him - I don't want to be hurt again,'' a 14-year-old said, explaining her feelings about her divorced mother's new date.

''I wish my mother had dated,'' a young adult said, acknowledging her feelings about her widowed mother. ''Then I wouldn't have to take care of her now.''

''I'm glad Daddy has found a friend,'' a 6-year-old said, talking about his father's live-in companion. ''Someone is taking care of him.''","''I DON'T even want to get to know him - I don't want to be hurt again,'' a 14-year-old said, explaining her feelings about her divorced mother's new date.",https://www.nytimes.com/1982/01/03/nyregion/when-single-parents-have-a-date.html
"Single-Parent Vacations, Without Losing Child or Mind",Eileen Ogintz article offers advice for single parents on vacationing with children; notes industry has begun offering packages specifically for single-parent families; drawing (M),"LYNN HIESTAND wouldn't consider taking a major trip without her favorite travel companion. Together, they have toured China and Israel and have enjoyed a safari in Africa, scuba diving in the Florida Keys and basking in the Arizona sun.",https://www.nytimes.com/1996/11/21/garden/singleparent-vacations-without-losing-child-or-mind.html
SINGLE PARENTS HEAD 25% OF FAMILIES IN U.S.,"  More than one-fourth of American families with children - and more than 60 percent of those that are black - were headed by a single parent last year, the Census Bureau reported Tuesday.   A major factor is that women are having children and getting married later in life - or not marrying at all - and that marriages are more likely to end in divorce, according to Dr. Harriet P. McAdoo, a professor of social work at Howard University.   In addition, she said, there are a substantial number of out-of-wedlock pregnancies among both black and white women as the stigma of being an unwed mother lessens.","More than one-fourth of American families with children - and more than 60 percent of those that are black - were headed by a single parent last year, the Census Bureau reported Tuesday.",https://www.nytimes.com/1986/11/06/garden/single-parents-head-25-of-families-in-us.html
"In Capitol, Debate on Parents in Gulf","  Facing growing Congressional pressure not to leave children without a parent when their fathers or mothers are ordered to serve in the war against Iraq, the Defense Department said today that 16,300 single parents and 1,200 military couples with children were now on duty in the Persian Gulf.    Some members of Congress, stirred by dramatic accounts of the problems of the children left behind, had pressed the Pentagon for several weeks about the number of children left without a parent because of the war.","Facing growing Congressional pressure not to leave children without a parent when their fathers or mothers are ordered to serve in the war against Iraq, the Defense Department said today that 16,300 single parents and 1,200 military couples with children were now on duty in the Persian Gulf.",https://www.nytimes.com/1991/02/16/us/in-capitol-debate-on-parents-in-gulf.html
SCHOOLS STEREOTYPE CHILDREN WITH ONE PARENT,"  Despite a dramatic increase in the number of single-parent families in America during the last decade, a new survey suggests that the nation's schools continue to stigmatize them as abnormal - because of their family situations -not only in school policies and practices, but also in the attitudes of school personnel.   ''There's still a tremendous amount of negative stereotyping going on,'' said Dr. Phyllis L. Clay, who directed the survey of 1,200 single parents in 47 states. ''When teachers buy into these negative views, it can become a self-fulfilling prophecy for the children.  It's even worse when parents accept these attitudes - and send messages to their kids that their family isn't as good as the family next door.''","Despite a dramatic increase in the number of single-parent families in America during the last decade, a new survey suggests that the nation's schools continue to stigmatize them as abnormal - because of their family situations -not only in school policies and practices, but also in the attitudes of school personnel.",https://www.nytimes.com/1981/02/02/style/schools-stereotype-children-with-one-parent.html
PARENT & CHILD,LEAD: THE reactions of children when their single parents start to date can vary from active encouragement -even crude attempts at matchmaking - to none-too-subtle sabotage.,THE reactions of children when their single parents start to date can vary from active encouragement -even crude attempts at matchmaking - to none-too-subtle sabotage.,https://www.nytimes.com/1988/10/27/garden/parent-child.html
Family Changes Blamed As Cases of Neglect Rise; Deaths From Neglect and Abuse 'Community Is Aware' $42 Million Spent Last Year ,"ALBANY, May 1--An increase in reported cases of child neglect was attributed today to single parents and working women by New York State's Commissioner of Social Services.  ",,https://www.nytimes.com/1980/05/02/archives/family-changes-blamed-as-cases-of-neglect-rise-deaths-from-neglect.html
Single at 38? Have That Baby,The hardest thing about parenting alone isn’t doing it but deciding to do it.,A woman ran after me as I left a friend’s party and asked if I thought she should be trying to get pregnant. This happens to me a lot.,https://www.nytimes.com/2018/06/23/opinion/sunday/single-at-38-have-that-baby.html
