title,date,abstract,section,paragraph,URL
"On Trip to NATO’s Newest Member, Biden Vows to Defend ‘Every Inch’ of Alliance",2023-07-13T15:29:36+0000,"In Finland, the president depicted the current moment as “an inflection point” in which decisions made now would “determine the course of history.”",World,"Depicting the world as facing a pivotal moment in history, President Biden vowed on Thursday during a visit to Finland to defend “every inch” of the alliance’s territory, closing out a European trip showcasing the alliance’s renewed energy since Russia invaded Ukraine last year.",https://www.nytimes.com/2023/07/13/world/europe/biden-nato-finland.html
"Today’s Top News: What Ukraine Got From the NATO Summit, and More",2023-07-13T09:47:06+0000,"Exclusively from New York Times Audio, our new app.",Podcasts,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",https://www.nytimes.com/2023/07/13/podcasts/headlines-nyt-audio-app.html
"Today’s Top News: Questions Surround Ukraine’s NATO Membership, and More",2023-07-12T09:46:33+0000,"Exclusively from New York Times Audio, our new app.",Podcasts,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",https://www.nytimes.com/2023/07/12/podcasts/headlines-nyt-audio-app.html
Your Wednesday Briefing: NATO Won’t Invite Ukraine to Join Yet,2023-07-11T21:27:56+0000,"Plus, floods in Japan.",Briefing,Ukraine wanted a clear timeline for when it can join NATO. But the alliance’s leaders would not commit to one.,https://www.nytimes.com/2023/07/11/briefing/ukraine-nato-japan-floods-israel-protests.html
Your Tuesday Briefing: Turkey backs Sweden’s NATO bid,2023-07-10T21:13:15+0000,"Plus, floods and landslides batter northern India.",Briefing,"In a sudden reversal, Turkey agreed yesterday to clear the way for Sweden to join NATO. NATO’s secretary general announced the decision in Vilnius, Lithuania, where the alliance was preparing to open its annual summit today. Hours earlier, President Recep Tayyip Erdogan had said that the E.U. should first advance Turkey’s bid to join the European bloc before Sweden could join the alliance.",https://www.nytimes.com/2023/07/10/briefing/erdogan-backs-sweden-nato-india-floods-china-marriage.html
Man in Sweden Set to Burn Religious Text Burns NATO Statutes Instead,2023-07-12T18:14:33+0000,The protest came as Turkey agreed to clear the way for Sweden to join the alliance and after the burning of a Quran in Stockholm.,World,"A man burned pages of NATO’s bylaws on Wednesday to protest Sweden’s bid to join the alliance, changing gears after planning to burn a religious text.",https://www.nytimes.com/2023/07/12/world/europe/sweden-nato-burning-text.html
"Today’s Top News: Biden on Ukraine’s NATO Bid, and More",2023-07-10T09:45:02+0000,"Exclusively from New York Times Audio, our new app.",Podcasts,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",https://www.nytimes.com/2023/07/10/podcasts/headlines-nyt-audio-app.html
NATO Tries to Remember What It Means to Fight a European War,2023-07-09T04:01:23+0000,Supporting Ukraine and clarifying its relationship with the alliance will be a dominant theme at an upcoming summit. But NATO’s efforts to strengthen its own defenses along its eastern flank will also be key.,World,"Late last month, a German convoy of 1,000 troops with tanks, drones and armored vehicles made its way some 750 miles to a Lithuanian military compound in Pabrade in three days, using trains, ferries, trucks and planes — all NATO practice for a possible incursion by foreign (read: Russian) troops.",https://www.nytimes.com/2023/07/09/world/europe/nato-germany-lithuania-russia-ukraine-war.html
An Uneasy Quiet at NATO’s Newest Border With Russia,2023-07-07T09:00:40+0000,Finland’s membership in the Western military alliance has increased NATO’s borders with Russia by 830 miles — and angered Moscow.,U.S.,"On a recent afternoon along Finland’s border with Russia, an attack from Russian military bases a few miles away seemed a distant prospect.",https://www.nytimes.com/2023/07/07/us/politics/russia-finland-nato-border.html
"Turkey Agrees to Support Sweden’s NATO Bid, Clearing Main Obstacle",2023-07-10T12:52:10+0000,"The move came after the Turkish president’s surprising new demand that the European Union should move forward with his country’s bid to join the bloc, one day before a high-profile summit.",World,"Turkey agreed on Monday to clear the way for Sweden to join NATO, a sudden reversal just hours after President Recep Tayyip Erdogan said that the European Union should first advance his country’s bid to join the E.U. bloc.",https://www.nytimes.com/2023/07/10/world/europe/erdogan-turkey-sweden-nato.html
"With Zelensky at his side, Erdogan says Ukraine ‘deserves NATO membership.’",2023-07-07T17:15:05+0000,The Turkish president also said he would work to help extend the Black Sea grain deal for longer intervals after meeting with Ukraine’s leader.,World,ISTANBUL — President Volodymyr Zelensky of Ukraine visited Turkey on Friday to talk to President Recep Tayyip Erdogan of Turkey about supporting Ukraine’s application for membership in the North Atlantic Treaty Organization and helping to extend the Black Sea grain deal.,https://www.nytimes.com/2023/07/07/world/europe/erdogan-zelensky-nato.html
NATO’s Welcome Party for Sweden Is Back on Ice,2023-07-06T09:00:50+0000,"Alliance leaders wanted their summit next week to celebrate the arrival of a new member, but stalling by Hungary and objections from Turkey have made that nearly impossible.",World,"For months, NATO leaders had hoped that when they convened for their annual summit next week, they could use the occasion to welcome Sweden as the alliance’s newest member.",https://www.nytimes.com/2023/07/06/world/middleeast/nato-summit-sweden-turkey.html
Jens Stoltenberg to Remain NATO Chief,2023-07-04T11:09:34+0000,"After initially saying he would leave the job in September, NATO’s secretary general said he would stay on another year.",World,"BRUSSELS — Jens Stoltenberg, the NATO secretary general, finally gave in. Having previously announced that he would leave the job this September, he reversed himself on Tuesday and said that he had agreed to extend his mandate another year, until October 2024.",https://www.nytimes.com/2023/07/04/world/europe/nato-chief-extends-term.html
Biden Says He Is ‘Anxiously’ Waiting for Sweden to Join NATO,2023-07-05T18:26:19+0000,"In an Oval Office meeting, President Biden again backed the plan for Sweden to join the military alliance, but movement has been stalled by Turkey’s opposition.",U.S.,"President Biden told Prime Minister Ulf Kristersson of Sweden on Wednesday that he was “anxiously looking forward” to the country’s acceptance into NATO, reiterating their shared goal of strengthening the Western alliance against the Russian invasion of Ukraine.",https://www.nytimes.com/2023/07/05/us/politics/biden-sweden-prime-minister-nato-turkey.html
"Today’s Top News: The Roadblocks to Sweden’s NATO Membership, and More",2023-07-06T09:45:08+0000,"Exclusively from New York Times Audio, our new app.",Podcasts,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",https://www.nytimes.com/2023/07/06/podcasts/headlines-nyt-audio-app.html
"U.S. ‘Fully’ Supports Sweden’s Bid to Join NATO, Biden Says",2023-07-05T19:59:39+0000,President Recep Tayyip Erdogan of Turkey has blocked Sweden’s NATO membership bid.,U.S.,President Recep Tayyip Erdogan of Turkey has blocked Sweden’s NATO membership bid.,https://www.nytimes.com/video/us/politics/100000008983510/biden-sweden-nato-membership.html
Biden and the Swedish prime minister meet to discuss Sweden’s NATO bid.,2023-07-05T06:35:03+0000,"President Biden and the prime minister of Sweden met at the White House on Wednesday, during a week of diplomacy by the two leaders to persuade opponents to allow the Nordic nation to join NATO. ",World,"President Biden and the prime minister of Sweden met at the White House on Wednesday, during a week of diplomacy by the two leaders to persuade opponents to allow the Nordic nation to join NATO. ",https://www.nytimes.com/2023/07/05/world/europe/biden-and-the-swedish-prime-minister-to-discuss-nato-bid.html
"As Tensions Rise, Zelensky Pushes for Way to Ship Grain Through Black Sea",2023-07-22T10:19:46+0000,"The Ukrainian leader said he had spoken with the NATO chief and the Turkish president, Recep Tayyip Erdogan, a key mediator between Russia and Ukraine since the full-scale invasion began last February.",World,"President Volodymyr Zelensky of Ukraine was pushing forward with diplomatic efforts on Saturday to reopen the Black Sea to Ukraine’s grain shipments, strategizing with NATO’s chief a day after discussing with the Turkish president the collapse of a deal that allowed ships to bypass Russia’s blockade.",https://www.nytimes.com/2023/07/22/world/europe/russia-ukraine-war-grain-deal.html
"The Pentagon unveils $1.3 billion for Ukraine, bringing total new U.S. aid this week to $2.3 billion.",2023-07-19T21:27:33+0000,The money is expected to be used to buy new air-defense missile systems and other military equipment.,World,"The United States will send $1.3 billion in financial assistance to Kyiv in order to purchase a host of new military equipment and ammunition, the Pentagon said on Wednesday. The new security support followed several U.S. announcements of humanitarian and other aid, and brought the total new U.S. commitment to Ukraine this week alone to $2.3 billion. ",https://www.nytimes.com/2023/07/19/world/europe/us-ukraine-aid-military-pentagon.html
NATO Stresses Risk of Wagner Group’s Potential Relocation to Belarus,2023-06-28T17:39:34+0000,"“Belarus is unpredictable and dangerous, and this has not changed,” the Estonian prime minister, Kaja Kallas, said in Brussels at a news conference with NATO’s secretary general. “We are ready for any developments.”",World,"Ahead of an annual NATO summit scheduled for next month, the leaders of alliance members Estonia and Poland on Wednesday stressed the need for vigilance over the Wagner mercenary group’s potential relocation to Belarus.",https://www.nytimes.com/2023/06/28/world/europe/wagner-belarus-nato-estonia-poland.html
How to Break a Country,2023-07-15T11:00:16+0000,A road trip through Eastern Europe underscores how Putin has diminished Russia.,Opinion,"TALLINN, Estonia — Vladimir Putin has compared himself to the czar Peter the Great. But to travel through Eastern Europe is to see how much he has instead caused Russian influence to shrink.",https://www.nytimes.com/2023/07/15/opinion/russian-speakers-ukraine-putin.html
Europe Keeps Acting Like It Can’t Defend Itself Against Russia,2023-07-14T05:00:08+0000,"The Russian military’s lackluster performance in the war in Ukraine has shown that Europe can, and should, defend itself.",Opinion,"Since President Vladimir Putin’s invasion of Ukraine, the narrative of American and European officialdom has been that Russia, a predatory state, is bent on dominating its neighbors, constituting a grave military threat to all of Europe. Finland’s and Sweden’s decisions to join NATO bolster this proposition, and the alliance appeared to accept it at face value during its summit this week in Vilnius, Lithuania.",https://www.nytimes.com/2023/07/14/opinion/europe-defense-nato-russia.html
‘As Long as It Takes’: Biden Adds to Talk of a New Cold War,2023-07-13T22:35:56+0000,"But that oversimplifies a complex global situation, others say, with a weakened Russia and with China facing serious problems of its own.",World,"President Biden and his national security team have contended since he took office that all the easy, tempting comparisons between this era and the Cold War are misleading, a vast oversimplification of a complex geopolitical moment.",https://www.nytimes.com/2023/07/13/world/europe/biden-nato-cold-war-russia-ukraine.html
"Biden Pledges Long-Term Backing for Ukraine, but a U.S. Election Looms",2023-07-13T11:04:11+0000,"Citing American politics, some NATO leaders expressed concern that Washington could waver in its support if there were a shift in power.",World,"Moments after President Biden assured Volodymyr Zelensky that he could count on United States support for as long as it took, the Ukrainian leader used the opportunity to speak not only to NATO allies but also to an audience thousands of miles away.",https://www.nytimes.com/2023/07/13/world/europe/ukraine-biden-nato-support.html
Russian General Denounces His Bosses as Officers Are Fired or Questioned,2023-07-13T22:33:09+0000,"The Wagner group mutiny three weeks ago has exposed dissension and fueled a shake-up in the Russian military, as it tries to fend off a Ukrainian advance.",World,"A top Russian general in Ukraine has lashed out at his bosses after being fired from his command, accusing them of undermining the war effort with dishonesty and politicking, in the latest sign of turmoil within the Kremlin’s military leadership.",https://www.nytimes.com/2023/07/13/world/europe/russia-generals-ukraine-turmoil.html
Biden said the U.S. is open to a prisoner swap to free Evan Gershkovich.,2023-07-13T20:18:30+0000,The president confirmed that a ‘process is underway’ during a news conference in Finland.,World,"President Biden said on Thursday that he was “serious” about negotiating a prisoner exchange to free Evan Gershkovich, the Wall Street Journal reporter that the United States has declared “wrongfully detained” in Russia.",https://www.nytimes.com/2023/07/13/world/europe/evan-gershkovich-prisoner-swap-biden.html
Blinken Meets China’s Top Diplomat in Latest Bid to Ease Tensions,2023-07-13T16:12:38+0000,"In their second meeting in less than a month, the secretary of state spoke to China’s envoy, Wang Yi, about ‘managing competition’ amid reports of a potential Chinese hack.",World,"Secretary of State Antony J. Blinken met with China’s top diplomat, Wang Yi, on the sidelines of a regional summit in Jakarta, Indonesia, on Thursday, the latest in a string of diplomatic meetings between U.S. and Chinese officials as the two countries try to ease tensions.",https://www.nytimes.com/2023/07/13/world/asia/china-us-blinken-wang-diplomacy.html
‘We’re Not Amazon’: Britain’s Defense Minister Says Ukrainian Officials Should Show More Gratitude,2023-07-12T13:20:59+0000,"In off-the-cuff remarks on the sidelines of the NATO summit, the defense minister, Ben Wallace, derided Russia and suggested that Ukrainian officials tone down some of their demands for aid.",World,"Ukraine’s counteroffensive may be progressing more slowly than hoped, but Russia’s forces have also been stymied — one of several signals that Britain’s defense minister on Wednesday said showed that “Russia is not as strong as you think it is.”",https://www.nytimes.com/2023/07/12/world/europe/uk-ukraine-ben-wallace.html
Erdogan’s Flip on Sweden Signals Mending of Ties With U.S.,2023-07-11T16:34:09+0000,"Long seen as an in-house disrupter in NATO, President Recep Tayyip Erdogan of Turkey could be trying to repair relations with the Biden administration, partly by scaling back close ties with Russia.",World,"While Europe and the United States were trying to isolate Moscow for its invasion of Ukraine, President Recep Tayyip Erdogan of Turkey referred to Russia’s president as “my friend.” While NATO leaders worked to enlarge the alliance, Mr. Erdogan held up the process by seeking concessions for his nation.",https://www.nytimes.com/2023/07/11/world/europe/erdogan-sweden-nato-allies.html
Will Turkey Become a Member of the E.U. Now? Here’s What to Know.,2023-07-11T13:23:18+0000,"As part of his U-turn on unblocking Sweden’s bid for NATO membership, President Recep Tayyip Erdogan of Turkey appears to have received vague promises about changing his country’s strained relationship with the European Union.",World,"As part of his surprising U-turn that unblocked Sweden’s bid for NATO membership Monday evening, President Recep Tayyip Erdogan of Turkey appears to have extracted vague commitments to “re-energize” his country’s complicated relationship with the European Union.",https://www.nytimes.com/2023/07/11/world/europe/turkey-eu-membership.html
"Today’s Top News: Extreme Weather Sweeps the U.S., and More",2023-07-11T09:45:08+0000,"Exclusively from New York Times Audio, our new app.",Podcasts,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",https://www.nytimes.com/2023/07/11/podcasts/headlines-nyt-audio-app.html
North Korea Ramps Up Rhetoric Ahead of U.S. Nuclear Submarine Visit,2023-07-11T08:18:41+0000,"The country warned that it would shoot down American spy planes, escalating verbal attacks on the U.S. as South Korea’s leader traveled to attend a NATO summit.",World,"North Korea threatened military action against American spy planes operating off the country’s east coast, its state media reported on Tuesday, as a United States submarine capable of shooting nuclear ballistic missiles planned to visit South Korea for the first time in four decades.",https://www.nytimes.com/2023/07/11/world/asia/north-korea-us-submarine.html
How NATO Blends Aircraft From 25 Nations,2023-06-23T09:00:32+0000,"The alliance’s “Air Defender” exercises, the largest in its history, have focused on communications, particularly on synchronizing multiple encryption systems.",World,"Flying a 50,000-pound attack jet while 10,000 feet above Earth may not be the best time for a language lesson. But it was part of the drills that Maj. Greg Kirk of the Idaho Air National Guard had to decipher last week as he sought clarity on his mission from a heavily accented German military air traffic controller issuing the orders.",https://www.nytimes.com/2023/06/23/world/europe/nato-aircraft-defense-exercises.html
"On Ukraine War’s 500th Day, Russia Strikes and Zelensky Shows Defiance",2023-07-08T09:35:57+0000,"President Volodymyr Zelensky of Ukraine shared a video of a trip to Snake Island in the Black Sea, a symbol of his country’s fierce resistance, as Russian shelling in the east killed at least seven.",World,"Russian forces launched a deadly strike in eastern Ukraine on Saturday as President Volodymyr Zelensky marked the 500th day of the war with a show of defiance, sharing a video of himself visiting a Black Sea island that has become a potent symbol of his country’s resistance to the invasion.",https://www.nytimes.com/2023/07/08/world/europe/russia-ukraine-war.html
Biden Defends ‘Difficult’ Decision to Send Cluster Munitions to Ukraine,2023-07-07T18:27:02+0000,"With Ukraine burning through stockpiles of conventional artillery, President Biden concluded that he had little choice but to provide the weapons.",U.S.,"President Biden defended his decision on Friday to provide Ukraine with cluster munitions, which are outlawed by many of America’s closest allies, saying it was a difficult decision but “the Ukrainians are running out of ammunition” in the fight against Russian forces.",https://www.nytimes.com/2023/07/07/us/politics/ukraine-cluster-munitions-biden.html
"German Government Slashes Spending, Except on the Military",2023-07-05T16:05:53+0000,"The proposed package foresees spending about 6 percent less in 2024 from this year, in a return to financial austerity. But the severity of the cuts to social services drew sharp criticism.",Business Day,"Germany plans to slash social benefits and rein in government debt but increase the amount spent on the military in 2024, according to a federal budget approved Wednesday by the government of Chancellor Olaf Scholz.",https://www.nytimes.com/2023/07/05/business/germany-budget-spending.html
Ukraine Says It Is Ready for Arrival of Wagner Troops in Belarus,2023-07-01T09:55:02+0000,"Ukrainian officials have tried to tamp down concerns while heralding their preparations, with President Volodymyr Zelensky nodding to plans for reinforcing the border.",World,"As Belarus has ratcheted up its messaging about plans to offer refuge — and possibly work — to Wagner group mercenaries after a failed rebellion in Russia, Ukrainian forces say they are ready for any potential threat from their neighbor to the north.",https://www.nytimes.com/2023/07/01/world/europe/russia-ukraine-war.html
German Defense Minister Vows Stronger Geopolitical Role Ahead of U.S. Visit,2023-06-28T04:00:14+0000,"In an interview before his first official trip to Washington, Boris Pistorius made clear he is intent on helping the United States by taking a more assertive stance.",World,"In an interview before his first official visit to Washington, Germany’s defense minister staked out a broad geopolitical vision, taking pains to indicate that his country is ready to assume a more assertive stance in the face of growing international instability.",https://www.nytimes.com/2023/06/28/world/europe/german-defense-minister-pistorius-stronger-geopolitical-role.html
Biden and Putin Have Dueling Messages on the Mutiny in Russia,2023-06-26T23:51:13+0000,The White House concluded that it had to get ahead of any argument by Vladimir V. Putin that the uprising was serving the interests of Russia’s adversaries.,U.S.,"When President Vladimir V. Putin spoke on Monday about the rebellion that threatened Moscow, and his rule, he started just as President Biden and his national security aides anticipated: blaming the United States for cheering on the uprising that the Russian leader said was intended to tear his country apart.",https://www.nytimes.com/2023/06/26/us/politics/biden-putin-russia-mutiny.html
"U.S. and Allies ‘Were Not Involved’ in Russia Revolt, Biden Says",2023-06-26T17:39:40+0000,President Biden said the United States and its NATO allies had “nothing to do with” a rebellion by the Wagner mercenary group in Russia.,U.S.,President Biden said the United States and its NATO allies had “nothing to do with” a rebellion by the Wagner mercenary group in Russia.,https://www.nytimes.com/video/us/politics/100000008970372/biden-russia-wagner.html
"The U.S. and its allies had ‘nothing to do with’ the rebellion in Russia, Biden says.",2023-06-26T20:52:17+0000,"Western nations agreed on a conference call not to let President Vladimir Putin of Russia blame them for the short-lived uprising, the American president said.",World,"The United States and its allies had “nothing to do with” the Wagner mercenary group’s uprising against President Vladimir V. Putin of Russia and his military command, President Biden said on Monday, his first public comments on the short-lived rebellion that incited an extraordinary weekend of crisis in Russia.",https://www.nytimes.com/2023/06/26/world/europe/biden-russia-prigozhin.html
Allies Pressure Biden to Hasten NATO Membership for Ukraine,2023-06-14T04:01:19+0000,"Some members of the military alliance want to set a timetable for Ukraine to join, though only after the war is no longer raging.",U.S.,"President Biden has taken every opportunity over the past 16 months to celebrate NATO’s unity on Ukraine. But on one key topic, Mr. Biden finds himself somewhat isolated within the alliance: when and how Kyiv would join.",https://www.nytimes.com/2023/06/14/us/politics/biden-nato-ukraine.html
The Tale the West Tells Itself About Ukraine,2023-06-16T09:00:43+0000,Ukraine’s best path to peace is to be well armed and supported outside NATO — not to join it.,Opinion,"Sometimes the stories we tell to win the war help us lose the peace. After the 9/11 attacks, the United States decided the Taliban government in Afghanistan was as culpable as the Qaeda terrorists who struck America. It then spent 20 years trying to keep the Taliban entirely out of power, only to cede the whole country to them.",https://www.nytimes.com/2023/06/16/opinion/nato-ukraine-russia-peace.html
Talks in Turkey on Sweden’s bid to join NATO end with no progress reported.,2023-06-14T06:05:59+0000,Turkey wants a tougher stance from Stockholm toward pro-Kurdish activists and members of an outlawed religious group whom Turkey considers terrorists.,World,ISTANBUL — High-level talks on Wednesday in Turkey aimed at bridging differences over Sweden’s application to join NATO ended with no progress being announced.,https://www.nytimes.com/2023/06/14/world/europe/erdogan-turkey-sweden-nato.html
"NATO defense chiefs vow to stand by Ukraine, pledging more air defenses and training for fighter pilots.",2023-06-15T06:36:02+0000,"U.S. officials urge patience, describing a long, bloody, difficult fight.",World,"NATO allies and others meeting in Brussels on Thursday vowed to keep up their support for Ukraine indefinitely as Kyiv makes slow progress in its push to take back Russian territory, with a special emphasis on providing air defenses and ammunition and stepping up F-16 fighter jet training.",https://www.nytimes.com/2023/06/15/world/europe/nato-ukraine-stoltenberg-austin.html
Ukraine’s Western-Trained Brigades Begin to Enter the Fight,2023-06-23T09:01:39+0000,The arrival of new units could be pivotal. But progress has been slow for Ukraine in the early stage of its counteroffensive.,U.S.,"They are fighting more effectively at night than their Russian counterparts, U.S. officials say.",https://www.nytimes.com/2023/06/23/us/politics/ukraine-military-training.html
NATO Begins Large-Scale Air Force Drills,2023-06-12T13:59:44+0000,"The aircraft exercise, known as Air Defender, comes as fighting escalates on the alliance’s doorstep in Ukraine.",World,"The aircraft exercise, known as Air Defender, comes as fighting escalates on the alliance’s doorstep in Ukraine.",https://www.nytimes.com/video/world/europe/100000008948554/nato-air-exercises-germany.html
NATO’s leader says Western aid is making a difference early in Ukraine’s counteroffensive.,2023-06-13T15:52:56+0000,"Jens Stoltenberg, the secretary general of NATO, and President Biden met at the White House to prepare for a summit meeting next month in Lithuania.",U.S.,"WASHINGTON — Jens Stoltenberg, the secretary general of NATO, praised the counteroffensive being mounted by Ukraine as he met with President Biden at the White House on Tuesday to discuss the long-term strategy in Ukraine and future leadership for the 31-member military alliance.",https://www.nytimes.com/2023/06/13/us/politics/biden-nato-secretary-general.html
Your Tuesday Briefing: NATO Begins Large-Scale Drills,2023-06-12T20:46:24+0000,"Plus, what noise does to your body.",Briefing,"Twenty-four NATO nations — including Finland, the alliance’s newest member — are participating in giant air force drills, in what the host nation Germany called the largest deployment of aircraft in the alliance’s history. The training comes as fighting escalates in Ukraine, where Kyiv’s forces are mounting an offensive to reclaim territory captured by Russia.",https://www.nytimes.com/2023/06/12/briefing/nato-unesco-china-coast-guard.html
NATO Nations Begin Giant Air Force Drills in Germany,2023-06-12T10:32:44+0000,More than 250 aircraft from 24 NATO countries and Japan will participate in a two-week military exercise.,World,"WUNSTORF, Germany — More than 250 aircraft and 10,000 personnel began a two-week military exercise on Monday involving NATO nations and Japan, in what host nation Germany bills as the largest deployment of aircraft in the alliance’s history.",https://www.nytimes.com/2023/06/12/world/europe/nato-air-exercises-drills-germany.html
