title,date,abstract,section,paragraph,URL
Single Parenting and Clive Owen,2009-09-15T13:12:24+0000,"Clive Owen discusses his new film ""The Boys Are Back,"" during an interview at the Toronto film festival.",Blogs,"TORONTO - In ""The Boys Are Back,"" Clive Owen plays a sports writer who loses his wife to cancer and must raise his 6-year-old son on his own. The film, based on the memoir by Simon Carr, explores how to navigate a father-son relationship in the midst of tragedy. Mr. Owen spoke about working with his young co-star, Nicholas McAnulty, and what the child actor taught him about playing a scene.",https://artsbeat.blogs.nytimes.com/2009/09/15/blogs/15artsbeat-single-p36871.html
The Fun of Having a Single Parent,2014-02-21T23:28:58+0000,This weekend NBC is introducing two feel-good sitcoms about the healing properties of broken homes.,Arts,NBC is on a love campaign.,https://www.nytimes.com/2014/02/22/arts/television/nbc-rolls-out-about-a-boy-and-growing-up-fisher.html
"Single Parents Need Vacations Too, and More Destinations Want Them to Visit",2018-11-01T09:00:01+0000,"If you’re a single parent looking for family vacation options that don’t assume two adults, these cruises and travel agencies — among other destinations — are here to help.",Travel,"When Tanya McNally, a Tampa, Fl. resident who works in human resources, was planning a vacation a few years ago for herself and her two teenage sons, she had recently gotten divorced and felt anxious about the prospect of traveling with them alone.",https://www.nytimes.com/2018/11/01/travel/single-parents-need-vacations-too-and-more-destinations-want-them-to-visit.html
"Single Parents: Unsupported, and Feeling the Blame",2013-03-20T18:32:40+0000,"Men and boys appear caught in a vicious cycle of single-parent families and poverty, but the effects are felt by both sexes.",Style,"Sometimes research results are politically incorrect, or even offensive for some of us, and still worth talking about.",https://parenting.blogs.nytimes.com/2013/03/20/single-parents-unsupported-and-feeling-the-blame/
Single Parents Like Online Dating,2007-10-08T04:00:00+0000,"Among people who have recently used online dating, single parents are highly overrepresented. ",Business Day,"Single parents are highly overrepresented among people who have recently used online dating, according to figures released by Mediamark Research, an audience research firm.",https://www.nytimes.com/2007/10/08/business/media/08drill.html
For Single‐Parent Families,1977-09-08T05:00:00+0000,Article on single parent families; illus (M),Archives,"All organizations of single parents that are listed here offer weekly discussions or “rap sessions” with provisions for child care. Some also offer such services as telephone hot lines, counseling, group outings and talks by experts in fields of special interest to parents raising children alone.",https://www.nytimes.com/1977/09/08/archives/for-singleparent-families.html
Single Parent (for a Week) in San Francisco,2010-03-12T18:12:39+0000,"For a week in January, my then-13-month-old daughter, Sasha, and I visited San Francisco—alone, without her mother.",Travel,"For a week in January, my  daughter, Sasha, then 13 months old, and I visited San Francisco — alone, without her mother. We went to museums, ate burritos and generally had a lovely time, all detailed in this weekend’s Travel section cover story, “Frugal San Francisco.” It was exhausting, yes, and Sasha may not remember anything specific from it, but I’m glad we had the opportunity to embark on the adventure.",https://frugaltraveler.blogs.nytimes.com/2010/03/12/single-parent-for-a-week-in-san-francisco/
"For Single Parents, One Less Worry",1999-10-05T05:00:00+0000,"Cornell University study finds that single parenthood, in and of itself, seems to have no effect on how child does in school (S)",Health,"Single mothers have been stereotyped, politicized and vilified, but a new Cornell study of young children offers them some comforting news: in and of itself, single parenthood seems to have no effect on how a child does in school.",https://www.nytimes.com/1999/10/05/health/vital-signs-families-for-single-parents-one-less-worry.html
When Single Parents Collide on a Safari,2014-05-22T23:49:21+0000,"In “Blended,” the third pairing of Adam Sandler and Drew Barrymore, Mr. Sandler once again proclaims himself both über-doofus and ultimate mensch.",Movies,"Because life is short and I have other things to be upset about, I will not dwell on the offensive aspects of “Blended,” the new Adam Sandler comedy: its retrograde gender politics; its delight in the humiliation of children; its sentimental hypocrisy about male behavior; its quasi-zoological depiction of Africans as servile, dancing, drum-playing simpletons; its ... I’m sorry. That’s just what I said I wouldn’t do.",https://www.nytimes.com/2014/05/23/movies/adam-sandler-and-drew-barrymore-in-blended.html
Single Parents Find,1977-11-13T05:00:00+0000,"Article discusses growth in demand for single-parent adoptions; Spaulding for Children, Westfield, NJ, adoption agency, to stage benefit to publicize trend; case of single parent and adoptee noted; illus of children (S)",Archives,"WESTFIELD DADDY WARBUCKS, if not the first single person in history to adopt a child, is certainly the most widely publicized. This, combined with a belief in the efficacy of such arrangements, is why Spaulding For Children chose “Annnie,” the hit musical, as its theater benefit next Friday night and as its way of observing National Adoption Week, which starts next weekend.",https://www.nytimes.com/1977/11/13/archives/new-jersey-weekly-single-parents-find-a-smoother-path-to-adoption.html
A Plan for the Single Parent,1986-09-14T05:00:00+0000,"  BEFORE her divorce early this year, Sheila Meyer of Spring Valley, N.Y., said, ''I had never made a financial decision in my life. I had left all the financial arrangements to my husband.'' Now, at age 44, she has to shoulder those responsibilities for herself and her two teen-age children. At the same time, her household income has dropped considerably from the time when she was married, and her husband brought home a six-figure salary.   ''I'm really very inexperienced at managing money,'' Ms. Meyer, a psychotherapist, said. ''I tend to go from being terrified of spending a nickel to the other extreme of spending money on frivolous things.''",Business Day,"BEFORE her divorce early this year, Sheila Meyer of Spring Valley, N.Y., said, ''I had never made a financial decision in my life. I had left all the financial arrangements to my husband.'' Now, at age 44, she has to shoulder those responsibilities for herself and her two teen-age children. At the same time, her household income has dropped considerably from the time when she was married, and her husband brought home a six-figure salary.",https://www.nytimes.com/1986/09/14/business/getting-the-most-from-your-assets-a-plan-for-the-single-parent.html
"PARENT & CHILD;
Of Single Parents And Mistletoe",1994-12-29T05:00:00+0000,"DURING the holidays, even the most hermitic single parents, seduced by the parties and possibilities, find themselves lured back into the dating game. Except for the most determinedly depressed, hope rises again that, just maybe, there may be someone out there who would make life easier, brighter and better. 

But dating can be hard for a single parent. Baby sitters become a scarce commodity during the holidays. And deciding when teen-agers are old enough to stay home alone is daunting. Tackling such obstacles often sends street-shy single parents back into hiding.",Home & Garden,"DURING the holidays, even the most hermitic single parents, seduced by the parties and possibilities, find themselves lured back into the dating game. Except for the most determinedly depressed, hope rises again that, just maybe, there may be someone out there who would make life easier, brighter and better. ",https://www.nytimes.com/1994/12/29/garden/parent-child-of-single-parents-and-mistletoe.html
STRENGHTS OF SINGLE PARENTS UNDERLINED,1983-09-25T05:00:00+0000,"PROFESSIONAL interest in the single-parent family has focused in recent years largely on its problems and weaknesses, Olga Brom, director of the Institute for Single Parent Family, said recently. ''At previous workshops, people were taught strategies to cope with those problems. To my knowledge nobody ever said single-parent families could be strong and maybe even stronger than an intact family or an unhappy family.''

On Saturday the institute will sponsor an all-day workshop at Sarah Lawrence College in Yonkers to explore the ''Strengths of Single Parent Families.'' According to Marianne Walters, the director of the Family Therapy Practice Center in Washington, who will give the keynote speech, ''So many single parents feel they are an incomplete family; they should be regarded as another kind of family with intrinsic strengths.'' In her address she will identify those strengths, which became apparent in research she has done.",New York,"PROFESSIONAL interest in the single-parent family has focused in recent years largely on its problems and weaknesses, Olga Brom, director of the Institute for Single Parent Family, said recently. ''At previous workshops, people were taught strategies to cope with those problems. To my knowledge nobody ever said single-parent families could be strong and maybe even stronger than an intact family or an unhappy family.''",https://www.nytimes.com/1983/09/25/nyregion/strenghts-of-single-parents-underlined.html
Personal Side to Single-Parent Issues,1980-06-27T05:00:00+0000,"Single parents got together yesterday evening to assess their situation in the light of recent events: New York State's new equitable-distribution divorce law and the recommendations of the first two White House Conferences on Families. They also heard speakers discuss the help that ethnic and religious groups can offer in raising children, and the effect of divorce and the death of parents on children.  ",Archives,,https://www.nytimes.com/1980/06/27/archives/personal-side-to-singleparent-issues.html
Does Championing Marriage Exclude Single Parents?,2013-01-29T23:37:36+0000,There’s more to the story of what makes raising children more difficult as a single parent than just the lack of a partner.,Style,"The Institute for American Values has issued a fairly remarkable “Call for a New Conversation on Marriage.” Its president, David Blankenhorn, is perhaps best known as the expert who testified against gay marriage in the Proposition 8 trial in California, and then changed his mind, publicly, with an Op-Ed article in The New York Times. ",https://parenting.blogs.nytimes.com/2013/01/29/does-championing-marriage-exclude-single-parents/
GROUP TO AID SINGLE PARENTS,1981-12-27T05:00:00+0000,"  AN effort to bridge what seems to be a serious communications gap between the one-parent family and the community will be made in 1982 by the Single Parents Roundtable, a new group in New Haven of mainly social service professionals from 11 towns in the area.   ''There are many grandparents as well as others who have stood by with a feeling of helplessness while both parents and children are emotionally devastated by the single-parent condition,'' said Barbara Small, executive director of the roundtable.   The aim of the campaign, said Mrs. Small, who is a single parent, is to draw these families back into the mainstream of community life and lessen any stigma or sense of isolation.   The group is preparing a resource book that single parents and professionals dealing with one-parent families can use. It is to be distributed through physicians, lawyers, school counselors, public libraries and social service centers and will list community services helpful to the single-parent family as well as recreational and social opportunities.",New York,"AN effort to bridge what seems to be a serious communications gap between the one-parent family and the community will be made in 1982 by the Single Parents Roundtable, a new group in New Haven of mainly social service professionals from 11 towns in the area.",https://www.nytimes.com/1981/12/27/nyregion/group-to-aid-single-parents.html
SINGLE PARENT HOMES ON RISE,1982-06-18T05:00:00+0000,"  WASHINGTON 17 (AP) - The Census Bureau reported today that the number of families headed by one parent had doubled since 1970, a change that officials said had been caused primarily by divorce.   The number of single-parent families rose from 3.3 million to 6.6 million from 1970 to 1981, according to a new study of household and family characteristics released by the bureau.",U.S.,"WASHINGTON 17 (AP) - The Census Bureau reported today that the number of families headed by one parent had doubled since 1970, a change that officials said had been caused primarily by divorce.",https://www.nytimes.com/1982/06/18/us/single-parent-homes-on-rise.html
Single-Parent Household Linked to Hypertension in Offspring,2013-12-18T13:55:29+0000,A new study of black men suggests that living with both parents in childhood reduces the risk for high blood pressure in adulthood.,Health,A new study of black men suggests that living with both parents in childhood reduces the risk for high blood pressure in adulthood.,https://well.blogs.nytimes.com/2013/12/18/single-parent-household-linked-to-hypertension-in-offspring/
Review: ‘The Last of Us’ Is a Zombie Thriller About Single Parenting,2023-01-12T17:34:09+0000,HBO’s video-game adaptation doesn’t reinvent the apocalypse genre. But it injects an undead story with new life.,Arts,"You would be forgiven for suffering, at this point, from pandemic fatigue. I’m referring here not to Covid-19 but to the many plagues that have kicked off TV apocalypses in recent years. From “Station Eleven” to “12 Monkeys,” “The Walking Dead” to “The Stand,” “Y: The Last Man” to “The Last Man on Earth,” this is the way the world ends, and ends, and ends.",https://www.nytimes.com/2023/01/12/arts/television/the-last-of-us-review.html
SINGLE PARENT AND A CHILD'S PARTY,1984-03-18T05:00:00+0000,"SANDI SAMUELS hadn't done her ''homework.'' The assignment had been to write a letter from her son telling her what he expected from his bar mitzvah; but instead of ''trying to get in touch with his feelings,'' as Wendy Baltaxe, director of singles activities at the Greater Five Towns Y.M.- Y.W.H.A. in Cedarhurst, had asked, Mrs. Samuels had merely jotted down a few phrases about ''my joyous occasion'' and ''the essence of being Jewish.''

And the four other members of her support group for singles planning a bar mitzvah or bat mitzvah or wedding alone were taking her to task for evading the issue.

''Your son never would have written that letter,'' said Mrs. W., who, along with three other women in the group, preferred anonymity. ''There are no feelings in that. Sure, it's hard to put yourself in someone else's place, but you didn't even try.''",New York,"SANDI SAMUELS hadn't done her ''homework.'' The assignment had been to write a letter from her son telling her what he expected from his bar mitzvah; but instead of ''trying to get in touch with his feelings,'' as Wendy Baltaxe, director of singles activities at the Greater Five Towns Y.M.- Y.W.H.A. in Cedarhurst, had asked, Mrs. Samuels had merely jotted down a few phrases about ''my joyous occasion'' and ''the essence of being Jewish.''",https://www.nytimes.com/1984/03/18/nyregion/single-parent-and-a-childs-party.html
PARTY FOR SINGLE-PARENT FAMILIES,1982-02-05T05:00:00+0000,"  ''You're wonderful, Daddy!'' 8-year-old Lila exclaimed happily as the bowling ball Fred Margulies had sent zooming down the lane smashed into the pyramid of pins. ''Hey, you're pretty terrific yourself,'' h er father said, beaming back.  Two lanes away a boy of 10 years, disappoin tment in his voice, was complaining to his mother, ''I'm terrible at bowling and I'll never win the trophy.''   ''Not many people have trophies,'' his mother said softly.  ''Anyway, that's not important. Having a good time and doing your best is.''",Style,"''You're wonderful, Daddy!'' 8-year-old Lila exclaimed happily as the bowling ball Fred Margulies had sent zooming down the lane smashed into the pyramid of pins. ''Hey, you're pretty terrific yourself,'' h er father said, beaming back. Two lanes away a boy of 10 years, disappoin tment in his voice, was complaining to his mother, ''I'm terrible at bowling and I'll never win the trophy.''",https://www.nytimes.com/1982/02/05/style/party-for-single-parent-families.html
Blue Period For Single Parents,1979-12-12T05:00:00+0000,article on psychological trauma of lone parent during Christmas holidays in society that traditionally is geared toward family togetherness; drawing (M),Archives,"IT was the night before Christmas. And Maggie Prodo, a single parent who lives in Weston, Conn., with her three children, was just about to put a new tricycle under the tree for her youngest when she discovered, to her dismay, that “the big box was a mess of jangles — I'd forgotten these things don't come assembled anymore.”",https://www.nytimes.com/1979/12/12/archives/blue-period-for-single-parents-christmas-a-blue-period-for-single.html
"More and More, the Single Parent Is Dad",1993-08-31T05:00:00+0000,"  One day not long after his divorce, Don Merwin watched his 2-year-old daughter, Alina, waddle in diapers to the front door, where she stood on tiptoe and strained to reach the knob.    ""Where are you going?"" asked Mr. Merwin, who lives in Sacramento, Calif.",U.S.,"One day not long after his divorce, Don Merwin watched his 2-year-old daughter, Alina, waddle in diapers to the front door, where she stood on tiptoe and strained to reach the knob.",https://www.nytimes.com/1993/08/31/us/more-and-more-the-single-parent-is-dad.html
How to Get Child Support as a Single Parent,2020-04-18T21:22:56+0000,"Regardless of circumstances, a custodial parent is entitled to financial support from the child’s other parent.",Parenting,"This guide was originally published on July 25, 2019 in NYT Parenting.",https://www.nytimes.com/article/child-support.html
Single-Parent Homes: The Effect on Schooling,1988-06-29T05:00:00+0000,"LEAD: The more time that children - especially boys - spend in one-parent homes, the less schooling they are likely to complete, a new study says.",Home & Garden,"The more time that children - especially boys - spend in one-parent homes, the less schooling they are likely to complete, a new study says.",https://www.nytimes.com/1988/06/29/garden/single-parent-homes-the-effect-on-schooling.html
GROUP OFFERS HELP TO SINGLE PARENTS,1986-07-13T05:00:00+0000,"  WHEN a New Haven pediatrician noticed a common complaint among the single-parent families he treated, he decided to take action to alleviate their problem - loneliness.   ''I realized there were a lot of one-parent families who needed to meet other single parents,'' said Dr. Robert LaCamera. ''Many felt less than whole.'' In 1978, he formed the One-Parent Family Conference, a group of single parents who discuss what it is like to raise a child alone. The New Haven-based group, which draws statewide membership, meets informally in homes and for holiday parties, picnics and fund-raising drives. The parents have also formed a support group to help each other in a crisis.",New York,"WHEN a New Haven pediatrician noticed a common complaint among the single-parent families he treated, he decided to take action to alleviate their problem - loneliness.",https://www.nytimes.com/1986/07/13/nyregion/group-offers-help-to-single-parents.html
Single-Parent Families Sharing Their Homes,1990-07-15T05:00:00+0000,"LEAD: LAST spring, in the midst of a divorce, Taryn Melendez started looking for an apartment for herself and her two young daughters. Hoping to find a roommate with whom she could split expenses, she said, she ran advertisements in a couple of newspapers. But she found that most of the people who wanted to share housing did not want to live with children.",New York,"LEAD: LAST spring, in the midst of a divorce, Taryn Melendez started looking for an apartment for herself and her two young daughters. Hoping to find a roommate with whom she could split expenses, she said, she ran advertisements in a couple of newspapers. But she found that most of the people who wanted to share housing did not want to live with children.",https://www.nytimes.com/1990/07/15/nyregion/singleparent-families-sharing-their-homes.html
A Single-Parent Home That Sponsors Dreams,1988-05-19T05:00:00+0000,"LEAD: Like many newly divorced parents, Julie Sharp faced a problem: how to afford a home and day care for her 3-year-old son and still continue her college education.",Home & Garden,"Like many newly divorced parents, Julie Sharp faced a problem: how to afford a home and day care for her 3-year-old son and still continue her college education.",https://www.nytimes.com/1988/05/19/garden/a-single-parent-home-that-sponsors-dreams.html
Rehousing Single-Parent Families,1986-11-30T05:00:00+0000,"  AT this time of year, Anthony Puzio starts worrying about winter winds. One long side of his four-story rental apartment building in the Bushwick section of Brooklyn faces north. Protection from the elements is the most important benefit that shelter must provide, and the old, wooden-framed windows at 50 Granite Street are frail defenders against the heavy winds that batter them.   Mr. Puzio is a 47-year-old self-employed painting contractor who lives with his elderly mother in a single-family house in the Midwood section of Brooklyn. His only rental properties are two single-family houses and the Bushwick building, a 1900's walk-up at the corner of Bushwick Avenue. It has seven three-bedroom apartments and, along the avenue, a grocery store.   Though a small owner, Mr. Puzio is a significant figure in the city's efforts to provide permanent housing for a major segment of the homeless population - low-income, female-headed households with children. About 4,000 such families now live in temporary housing in public shelters or hotels.",Real Estate,"AT this time of year, Anthony Puzio starts worrying about winter winds. One long side of his four-story rental apartment building in the Bushwick section of Brooklyn faces north. Protection from the elements is the most important benefit that shelter must provide, and the old, wooden-framed windows at 50 Granite Street are frail defenders against the heavy winds that batter them.",https://www.nytimes.com/1986/11/30/realestate/perspectives-low-cost-rentals-rehousing-single-parent-families.html
"Single Parents Finding Love: Over Zoom, of Course",2020-10-06T18:55:03+0000,Because dating with kids wasn’t tricky enough before the pandemic.,Parenting,"It was a “missed connection” that could have only happened in 2020. Posted in July in a Bay Area Facebook parenting group that usually focuses more on dentist recommendations and stroller advice, it read: “In search of the single dad who spoke at yesterday’s Zoom school board meeting. You have a child going into kindergarten. You sounded kind, caring, insightful and levelheaded. I’m a single woman with a sweet elementary school-aged child. Would love to meet up — masked and distanced appropriately — until we mutually agree to be part of one another’s bubble.”",https://www.nytimes.com/2020/10/06/parenting/single-parent-dating-coronavirus.html
NUMBER OF SINGLE PARENT ADOPTIONS GROWS,1984-11-19T05:00:00+0000,"  Dr. Judith Kuppersmith, a Brooklyn psychologist, was in her late 30's when she decided she wanted to adopt a child. But after visiting several adoption agencies, she found she was ''last on everybody's list.'' ''I had three problems,'' she said. ''My age, I was single, and I wanted an infant.''   Today Dr. Kuppersmith, 42, is the mother of a 3-year-old girl named Anya, whom she adopted privately from Chile.   She is one of a growing number of single people in this country who are adopting children, either privately or through agencies. Although no statistics are available for single-parent adoptions, experts estimate that anywhere from 5 to 25 per cent of all adoption placements are now being made to single people. In 1981, the total number of adopted children in the United States was about 1.2 million, according to Child Trends, a Washington research group.",Style,"Dr. Judith Kuppersmith, a Brooklyn psychologist, was in her late 30's when she decided she wanted to adopt a child. But after visiting several adoption agencies, she found she was ''last on everybody's list.'' ''I had three problems,'' she said. ''My age, I was single, and I wanted an infant.''",https://www.nytimes.com/1984/11/19/style/number-of-single-parent-adoptions-grows.html
Single-Parent Homes On Increase in Japan,1984-05-06T05:00:00+0000,"   The number of single-parent families in Japan has increased sharply in the last five years, mainly because of the rising divorce rate, according to a report issued today on Children's Day, a national holiday.   For the first time divorce exceeded death of the father as the primary cause of families without fathers, according to the Health and Welfare Ministry report.",World,"The number of single-parent families in Japan has increased sharply in the last five years, mainly because of the rising divorce rate, according to a report issued today on Children's Day, a national holiday.",https://www.nytimes.com/1984/05/06/world/single-parent-homes-on-increase-in-japan.html
The Increasing Single‐Parent Families...,1974-12-03T05:00:00+0000,"Article on 'single-parent families', noted as a way of life now for one Amer child in every 7 and as a new term for 'broken homes'; US Census Bur repts 9 million children under age 18 are being raised by 1 parent only, more than 8 million by mothers, 800,000 by fathers; figures represent child-rearing trend that has been growing since '60; growth is 7 times as fast as traditional nuclear family; some suggest that US may be in the midst of a sgnificant change in child-rearing patterns; Dr Urie Bronfenbrenner and Martin Rein comment; Sen Subcom on Children and Youth to probe situation; various social, educational and counseling programs arise to aid in situation; Community Service Soc says 40% of social service agencies responding to a survey reptd special programs for single-parent family but that communities are unaware of them; belief that such families are headed only by unwed mothers called a myth; some single parents comment; illus (L)",Archives,Almost no one says “broken homes” any more. Now they are popularly called “single parent families” and they are a way of life for one American child in every seven.,https://www.nytimes.com/1974/12/03/archives/the-increasing-singleparent-families-lack-of-day-care-unawareness.html
Single or a Single Parent? Here’s How to Prepare for the Coronavirus,2020-04-15T15:17:41+0000,"It’s possible to plan ahead so friends, neighbors and relatives can help if you wind up needing it.",Smarter Living,"For Americans who live alone, or are single parents, the prospect of getting coronavirus can be especially daunting. Without another adult to help, you could be left caring for yourself, your finances, your pets and your children while battling a serious and highly contagious disease.",https://www.nytimes.com/2020/04/15/smarter-living/singles-parents-coronavirus.html
Changes in Family Patterns: Solitude and Single Parents,1991-06-07T05:00:00+0000,"  Delayed marriage and frequent divorce are transforming the American household, etching patterns of solitude, single parenthood and homes increasingly filled by unmarried couples, a new Census Bureau survey shows.   Children of the 1950's are living alone in record numbers, children of the 1960's and 1970's linger in the parental nest and almost one-quarter of the children of the 1980's and 90's are living with a single parent.",U.S.,"Delayed marriage and frequent divorce are transforming the American household, etching patterns of solitude, single parenthood and homes increasingly filled by unmarried couples, a new Census Bureau survey shows.",https://www.nytimes.com/1991/06/07/us/changes-in-family-patterns-solitude-and-single-parents.html
Helping Single Parents Find Success in College,1991-08-28T05:00:00+0000,"Michelle Feaver's life had fallen apart last fall, when she enrolled in the Community Service Scholarship Program at Trinity College here. Two years earlier Ms. Feaver, a mother of two, had fled New Zealand and a failing marriage to settle near her family in Vermont. But without a college degree her job prospects were dismal.

Now, a year into a program designed specifically for single, low-income parents, her life has taken an abrupt turn for the better.",Archives,"Michelle Feaver's life had fallen apart last fall, when she enrolled in the Community Service Scholarship Program at Trinity College here. Two years earlier Ms. Feaver, a mother of two, had fled New Zealand and a failing marriage to settle near her family in Vermont. But without a college degree her job prospects were dismal.",https://www.nytimes.com/1991/08/28/archives/helping-single-parents-find-success-in-college.html
Single Parents Find Help With Sharing Homes,1990-09-30T05:00:00+0000,"LEAD: THREE years ago, a financially comfortable 80-year-old widow was finding it hard to manage her house in Bergen County, where she had lived for many years. She opted to share her home with a single father who had custody of his son and daughter on weekends. In exchange, he agreed to help her with the maintenance.",New York,"THREE years ago, a financially comfortable 80-year-old widow was finding it hard to manage her house in Bergen County, where she had lived for many years. She opted to share her home with a single father who had custody of his son and daughter on weekends. In exchange, he agreed to help her with the maintenance.",https://www.nytimes.com/1990/09/30/nyregion/single-parents-find-help-with-sharing-homes.html
WHEN SINGLE PARENTS HAVE A DATE,1982-01-03T05:00:00+0000,"''I DON'T even want to get to know him - I don't want to be hurt again,'' a 14-year-old said, explaining her feelings about her divorced mother's new date.

''I wish my mother had dated,'' a young adult said, acknowledging her feelings about her widowed mother. ''Then I wouldn't have to take care of her now.''

''I'm glad Daddy has found a friend,'' a 6-year-old said, talking about his father's live-in companion. ''Someone is taking care of him.''",New York,"''I DON'T even want to get to know him - I don't want to be hurt again,'' a 14-year-old said, explaining her feelings about her divorced mother's new date.",https://www.nytimes.com/1982/01/03/nyregion/when-single-parents-have-a-date.html
"Single-Parent Vacations, Without Losing Child or Mind",1996-11-21T05:00:00+0000,Eileen Ogintz article offers advice for single parents on vacationing with children; notes industry has begun offering packages specifically for single-parent families; drawing (M),Home & Garden,"LYNN HIESTAND wouldn't consider taking a major trip without her favorite travel companion. Together, they have toured China and Israel and have enjoyed a safari in Africa, scuba diving in the Florida Keys and basking in the Arizona sun.",https://www.nytimes.com/1996/11/21/garden/singleparent-vacations-without-losing-child-or-mind.html
SINGLE PARENTS HEAD 25% OF FAMILIES IN U.S.,1986-11-06T05:00:00+0000,"  More than one-fourth of American families with children - and more than 60 percent of those that are black - were headed by a single parent last year, the Census Bureau reported Tuesday.   A major factor is that women are having children and getting married later in life - or not marrying at all - and that marriages are more likely to end in divorce, according to Dr. Harriet P. McAdoo, a professor of social work at Howard University.   In addition, she said, there are a substantial number of out-of-wedlock pregnancies among both black and white women as the stigma of being an unwed mother lessens.",Home & Garden,"More than one-fourth of American families with children - and more than 60 percent of those that are black - were headed by a single parent last year, the Census Bureau reported Tuesday.",https://www.nytimes.com/1986/11/06/garden/single-parents-head-25-of-families-in-us.html
